Topic,Number of Reviews
Long wait time for deliveries/food to go,120329
outlier,107765
"Not hygienic enough (e.g. no masks during pandemic, dirty establishment)",6688
Issue related to services outside restauration (e.g. lodging),2471
Too strict on hours of service,2304
Lacking customer service,1819
Prejudice servers (e.g. racist remarks),1091
